nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,precio_litro_final,marca
Leche Alpura deslactosada light 1 l,$37.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=120006_-1_860172&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Fleche-alpura-deslactosada-light-1-l%2F00750105590414&adUid=b06309ee-f26c-42f2-81ff-773248d68e0a&mloc=sp-search-middle&pltfm=desktop&pgId=leche&pt=search&spQs=6FCucBfRRMJ7CjTeQQA3e0cTPuRsoXb2HUDksHM12LIFQ3BNeT55EAr-i_baeRiUhJDrHa6f9Wn7oC5ey6qTJbdcwcGdonC_ukrDKLiI1WNG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjT-2E2_PC3EcRPs8_DyDdNS5AWteaQUCVrejrpl2qGKVXYYCjM656y_inA2jBouMCjpYWCu3O7wF62cHVmX9zos&storeId=3721&tn=WMT_MX&wtn=hvgqan&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/leche-alpura-deslactosada-light-1-l/00750105590414,Walmart,2026-04-24T23:36:03.076Z,37.0,1.0,L,37.0,Lacteos,False,37.0,Alpura
Leche Alpura deslactosada caja con 6 pzas de 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-caja-con-6-pzas-de-1-l-c-u/00750105591287?athbdg=L1600&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,28.666666666666668,Alpura
Leche Alpura clásica caja con 6 pzas de 1 l c/u,$170.00,https://www.walmart.com.mx/ip/leche-alpura-clasica-caja-con-6-pzas-de-1-l-c-u/00750105591286?athbdg=L1600&from=/search,Walmart,2026-04-24T23:36:03.076Z,170.0,6.0,pzas,28.33333333333333,Lacteos,False,28.333333333333332,Alpura
Leche Alpura deslactosada light caja con 6 pzas de 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-light-caja-con-6-pzas-de-1-l-c-u/00750105591355?athbdg=L1505&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,28.666666666666668,Alpura
Leche Santa Clara deslactosada caja con 6 pzas 1 l c/u,$180.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-caja-con-6-pzas-1-l-c-u/00750105536751?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,180.0,6.0,pzas,30.0,Lacteos,False,30.0,Santa Clara
Leche Santa Clara entera caja con 6 pzas de 1 l c/u,$177.00,https://www.walmart.com.mx/ip/leche-santa-clara-entera-caja-con-6-pzas-de-1-l-c-u/00750105536750?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,177.0,6.0,pzas,29.5,Lacteos,False,29.5,Santa Clara
Leche Lala fresca deslactosada y semidescremada 6 pack 1 l c/u,$175.00,https://www.walmart.com.mx/ip/leche-lala-fresca-deslactosada-y-semidescremada-6-pack-1-l-c-u/00750102056599?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,175.0,1.0,L,175.0,Lacteos,False,29.166666666666668,Lala
Leche Lala UHT entera 6 pack 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-lala-uht-entera-6-pack-1-l-c-u/00750102056596?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,1.0,L,172.0,Lacteos,False,28.666666666666668,Lala
Leche Santa Clara deslactosada light caja con 6 pzas 1 l c/u,$180.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-light-caja-con-6-pzas-1-l-c-u/00750105537150?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,180.0,6.0,pzas,30.0,Lacteos,False,30.0,Santa Clara
Leche Lala UHT deslactosada light 6 pack 1 l c/u,$175.00,https://www.walmart.com.mx/ip/leche-lala-uht-deslactosada-light-6-pack-1-l-c-u/00750102056600?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,175.0,1.0,L,175.0,Lacteos,False,29.166666666666668,Lala
Leche Lala UHT light 6 pack 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-lala-uht-light-6-pack-1-l-c-u/00750102056597?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,1.0,L,172.0,Lacteos,False,28.666666666666668,Lala
Leche Santa Clara entera 1 l,$37.00,https://www.walmart.com.mx/ip/leche-santa-clara-entera-1-l/00750129560012?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,37.0,1.0,L,37.0,Lacteos,False,37.0,Santa Clara
Leche Alpura deslactosada 1.5 l,$51.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-1-5-l/00750105591027?from=/search,Walmart,2026-04-24T23:36:03.076Z,51.0,1.5,L,34.0,Lacteos,False,34.0,Alpura
Leche Santa Clara deslactosada light de 1 l,$39.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-light-de-1-l/00750105534900?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,39.0,1.0,L,39.0,Lacteos,False,39.0,Santa Clara
Leche Santa Clara deslactosada 1 l,$39.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-1-l/00750129560015?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,39.0,1.0,L,39.0,Lacteos,False,39.0,Santa Clara
Leche Santa Clara deslactosada 1.5 l,$55.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-1-5-l/00750105537544?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,55.0,1.5,L,36.66666666666666,Lacteos,False,36.666666666666664,Santa Clara
